,pca_m0,proba
403,-0.01194,0.9756234
404,-0.01192,0.9754426
405,-0.011899999999999999,0.97526044
406,-0.01188,0.97507685
407,-0.011859999999999999,0.97489196
408,-0.01184,0.97470564
409,-0.011819999999999999,0.97451806
410,-0.0118,0.9743292
411,-0.01178,0.9741388
412,-0.01176,0.97394705
413,-0.01174,0.97375387
414,-0.01172,0.97355944
415,-0.0117,0.9733634
416,-0.01168,0.973166
417,-0.01166,0.9729671
418,-0.01164,0.9727668
419,-0.01162,0.972565
420,-0.0116,0.9723618
421,-0.01158,0.97215694
422,-0.011559999999999999,0.9719508
423,-0.01154,0.97174305
424,-0.011519999999999999,0.97153383
425,-0.0115,0.971323
426,-0.011479999999999999,0.9711107
427,-0.01146,0.97089684
428,-0.01144,0.9706814
429,-0.01142,0.9704644
430,-0.0114,0.97024584
431,-0.01138,0.9700256
432,-0.01136,0.96980387
433,-0.01134,0.96958053
434,-0.01132,0.96935546
435,-0.0113,0.96912885
436,-0.01128,0.96890044
437,-0.01126,0.96867055
438,-0.01124,0.96843886
439,-0.011219999999999999,0.9682055
440,-0.0112,0.96797055
441,-0.011179999999999999,0.9677338
442,-0.01116,0.9674953
443,-0.011139999999999999,0.9672551
444,-0.01112,0.9670132
445,-0.0111,0.96676946
446,-0.01108,0.96652406
447,-0.01106,0.9662767
448,-0.01104,0.9660276
449,-0.01102,0.9657769
450,-0.011,0.9655242
451,-0.01098,0.9652696
452,-0.01096,0.9650134
453,-0.01094,0.9647552
454,-0.01092,0.96449506
455,-0.0109,0.96423316
456,-0.010879999999999999,0.96396923
457,-0.01086,0.9637034
458,-0.010839999999999999,0.9634357
459,-0.01082,0.9631661
460,-0.010799999999999999,0.9628945
461,-0.01078,0.962621
462,-0.01076,0.96234536
463,-0.01074,0.96206784
464,-0.01072,0.96178836
465,-0.0107,0.9615069
466,-0.01068,0.9612233
467,-0.01066,0.9609376
468,-0.01064,0.96064985
469,-0.01062,0.9603601
470,-0.0106,0.9600682
471,-0.010579999999999999,0.9597744
472,-0.01056,0.9594782
473,-0.010539999999999999,0.95918
474,-0.01052,0.9588796
475,-0.010499999999999999,0.9585771
476,-0.01048,0.95827234
477,-0.010459999999999999,0.95796555
478,-0.01044,0.9576564
479,-0.01042,0.95734495
480,-0.0104,0.9570314
481,-0.01038,0.9567156
482,-0.01036,0.95639753
483,-0.01034,0.95607716
484,-0.01032,0.9557544
485,-0.0103,0.9554294
486,-0.01028,0.955102
487,-0.01026,0.95477235
488,-0.010239999999999999,0.95444036
489,-0.01022,0.9541059
490,-0.010199999999999999,0.9537691
491,-0.01018,0.9534298
492,-0.010159999999999999,0.95308816
493,-0.01014,0.95274407
494,-0.010119999999999999,0.9523974
495,-0.0101,0.95204836
496,-0.01008,0.95169675
497,-0.01006,0.9513427
498,-0.01004,0.9509861
499,-0.01002,0.9506269
500,-0.01,0.9502652
501,-0.00998,0.9499009
502,-0.00996,0.949534
503,-0.00994,0.94916445
504,-0.00992,0.94879234
